date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
2018-01-12,646.4,647.2,648.8,643.2,656.0,640.8,640.8,648.0,642.4,654.4,672.8,666.4000000000001,724.0,757.5999999999999,774.4,822.4,914.4000000000001,1000.8,1026.4,1019.2,1038.4,1020.0,1045.6,1019.2,1008.0,1020.0,1007.2,1011.2,992.8,932.0,940.0,938.4,927.2,920.0,894.4,859.2,815.2,788.0,758.4,733.6,716.8,701.6,694.4,698.4,649.6,664.0,648.8,641.5999999999999,0
2018-01-13,657.6,645.6,649.5999999999999,660.8,641.6,648.0,652.8,645.6,665.5999999999999,653.6,644.0,657.6,698.4,698.4,716.0,691.2,686.4000000000001,706.4,700.0,712.8,702.4,692.0,695.2,707.2,705.5999999999999,697.5999999999999,692.0,676.0,691.2,700.0,702.4,696.8,690.4000000000001,696.8,716.0,728.0,709.6,716.0,710.4000000000001,696.0,704.0,686.4,679.2,691.2,655.2,655.2,656.8,643.2,3
2018-01-14,648.8,650.4,651.2,658.4,665.6,653.5999999999999,651.2,652.8,659.2,660.8,652.8,649.6,693.5999999999999,710.4,716.8,701.5999999999999,697.6,688.0,692.0,693.5999999999999,681.6,680.8,676.0,671.2,678.4000000000001,693.5999999999999,682.4000000000001,675.2,680.0,688.0,695.2,696.8,690.4,702.4,710.4,709.6,712.8,696.0,703.2,702.4000000000001,702.4000000000001,713.6,698.4,700.0,659.2,662.4,669.6,655.2,3
2018-01-15,669.6,657.6,664.0,668.8,663.2,661.5999999999999,664.8,668.8,675.2,667.2,683.2,692.8,762.4000000000001,787.2,803.2,866.4000000000001,971.2,1020.8,1106.4,1100.8000000000002,1132.8000000000002,1116.8000000000002,1123.1999999999998,1086.4,1108.0,1103.1999999999998,944.8,1077.6,1071.1999999999998,1008.8,1020.0,1019.1999999999999,1012.0,1016.8,988.8,954.4,892.0,861.6,819.2,797.6,774.4,765.6,750.4,738.4,704.0,708.8,716.8,708.8,1
2018-01-16,705.6,688.0,685.6,689.6,695.2,686.4000000000001,687.2,688.0,638.4000000000001,703.2,701.5999999999999,703.2,751.2,765.6,780.0,835.2,958.4,1012.8,1068.0,1057.6,1072.0,1110.4,1127.2,1108.0,1124.0,1112.0,1105.6,1116.8,1088.0,1037.6,1053.6,1051.2,1021.6,1007.2,962.4,908.0,864.8,816.8,803.2,776.0,736.8,737.5999999999999,718.4,708.0,682.4000000000001,668.0,684.0,686.4000000000001,1
2018-01-17,672.0,669.5999999999999,671.2,670.4000000000001,673.5999999999999,671.2,661.6,668.8,669.5999999999999,676.8,682.4,681.5999999999999,728.8,764.8,808.0,808.8,866.4000000000001,955.2,1058.4,1049.6,1100.8,1124.8,1118.4,1108.0,1096.8000000000002,1098.4,1111.2,1101.6,1106.4,1060.0,1040.8,1038.4,1032.0,1019.2,967.2,929.5999999999999,879.2,848.8,821.5999999999999,790.4000000000001,745.6,751.2,750.4,741.6,714.4000000000001,702.4,685.6,692.8,0
2018-01-18,696.8,684.0,700.8,710.4,704.0,692.0,693.5999999999999,692.8,684.0,689.6,696.8,724.8,763.2,810.4,834.4000000000001,883.2,931.2,989.5999999999999,1044.8000000000002,1043.2,1027.2,1034.4,1052.8,1019.2,1041.6,1013.5999999999999,1020.8,1021.6,1006.4000000000001,980.8,993.5999999999999,998.4,980.0,966.4,958.4000000000001,886.4,852.8,812.0,775.2,756.0,733.5999999999999,718.4000000000001,716.0,703.2,672.8,669.5999999999999,661.6,664.0,0
2018-01-19,659.2,662.4,662.4000000000001,664.0,660.0,654.4,648.8,660.8,648.8,644.0,657.6,656.8,708.0,744.8,760.0,804.0,812.0,920.8,995.2,1047.2,1066.4,1094.4,1064.0,1033.6,1052.0,1059.2,1044.8,1025.6,1012.0,966.4,972.8,983.2,953.5999999999999,914.4,906.4,862.4,842.4000000000001,801.5999999999999,775.2,765.5999999999999,736.0,714.4,716.8,697.5999999999999,663.2,668.0,658.4000000000001,658.4,0
2018-01-20,678.4,668.0,665.6,660.0,668.0,665.5999999999999,666.4,665.5999999999999,668.0,675.2,684.0,674.4000000000001,719.2,736.8,740.8,735.2,730.4000000000001,716.0,721.5999999999999,741.6,729.5999999999999,726.4000000000001,714.4,692.8,704.8,707.2,695.2,707.2,708.8,700.8,682.4,680.8,686.4,683.2,708.0,689.5999999999999,690.4,693.6,698.4,700.0,700.8,693.6,693.6,680.8,644.8,652.8,637.6,628.8,0
2018-01-21,642.4,630.4000000000001,632.0,643.2,624.8,625.6,632.8,624.0,639.2,631.2,620.0,635.2,666.4,687.2,694.4000000000001,677.5999999999999,684.0,681.5999999999999,681.5999999999999,680.8,666.4,673.5999999999999,666.4000000000001,664.0,666.4,681.6,678.4,671.2,663.2,668.8,670.4,678.4,667.2,664.8,700.0,698.4000000000001,696.0,708.8,680.0,695.2,696.8,688.0,688.8,689.6,648.0,639.2,646.4000000000001,642.4000000000001,3
2018-01-22,649.6,648.0,651.2,664.0,654.4000000000001,648.0,646.4000000000001,659.2,652.8,666.4,670.4,677.6,749.6,782.4,790.4000000000001,816.0,887.2,959.2,1028.0,1038.4,1041.6,1033.6,1040.0,1044.8000000000002,1052.0,1040.0,1025.6,1022.4000000000001,1014.4,996.0,999.2,992.8,964.8,983.2,950.4,912.0,873.6,840.0,803.2,780.8,739.2,737.5999999999999,725.6,712.0,682.4,677.5999999999999,692.0,672.0,0
2018-01-23,674.4,667.2,668.0,658.4,646.4000000000001,656.0,656.8,658.4000000000001,656.8,668.8,664.8,688.8,748.0,767.2,798.4000000000001,796.8,872.0,960.0,1002.4,1031.1999999999998,1044.8000000000002,1025.6,1043.2,1001.6,1002.4,1019.2,982.4,984.8,978.4000000000001,943.2,966.4000000000001,972.0,936.8,923.2,914.4000000000001,884.8,847.2,806.4000000000001,771.2,762.4,720.0,712.0,708.8,680.0,651.2,638.4000000000001,638.4,652.8,0
2018-01-24,644.8,641.6,642.4,639.2,644.0,651.2,640.0,653.6,648.0,647.2,656.8,676.0,743.2,753.6,783.2,796.0,875.2,946.4000000000001,1020.8000000000001,1020.8,989.6,1004.8,1024.8,1004.8,998.4,988.0,988.8,984.8,983.2,920.8,936.8,956.8,923.2,920.0,910.4,888.8,841.5999999999999,820.0,798.4,753.6,726.4,710.4000000000001,698.4,708.8,674.4,657.6,659.2,660.8,0
2018-01-25,656.8,676.0,690.4,669.5999999999999,658.4000000000001,656.8,655.2,664.0,666.4000000000001,654.4,660.8,648.0,716.0,752.8,760.0,767.2,884.8,980.0,1057.6,1084.8000000000002,1076.0,1076.8,1093.6,1089.6,1088.0,1089.6,1091.2,1064.8000000000002,1056.8,1007.2,1033.6,1056.8000000000002,999.2,962.4,932.8,878.4,856.8,824.8,792.8,754.4,692.0,700.0,688.0,690.4,644.0,632.8,636.0,636.0,0
2018-01-26,636.8,648.8,634.4,624.8,632.8,628.0,636.0,646.4,625.5999999999999,632.0,644.0,644.0,715.2,732.8,744.0,759.2,810.4000000000001,924.0,1026.4,1038.4,1043.2,1024.8,1022.4000000000001,1002.4,1044.8000000000002,989.6,981.5999999999999,954.4000000000001,961.6,920.8,928.0,918.4,893.5999999999999,882.4000000000001,847.2,841.5999999999999,791.2,762.4,744.8,722.4,714.4,704.0,700.8,704.8,668.0,652.8,666.4,661.6,0
2018-01-27,648.0,642.4000000000001,643.2,632.8,640.8,636.0,620.8,628.8,629.6,639.2,656.0,633.6,691.2,696.0,702.4,696.8,698.4,695.2,697.6,696.0,687.2,686.4,701.6,686.4,675.2,672.8,667.2,672.8,676.8,663.2,667.2,672.8,667.2,681.5999999999999,682.4000000000001,663.2,664.8,658.4,660.8,664.0,648.8,650.4000000000001,650.4,647.2,617.6,625.5999999999999,612.0,608.8,3
